EmployeeID,Name,Department,Age,Salary,PerformanceScore,JoinDate,MonthlySales,TenureYears,PerformanceBand
1001,Employee_1,Engineering,29.0,77299.37516583537,6.809417051962964,2018-01-01,49277.33,7.0,Medium
1002,Employee_2,Support,55.0,38845.02750034301,6.153682508193728,2018-01-05,45195.61,7.0,Medium
1003,Employee_3,HR,33.0,52047.13044297036,5.428975280733824,2018-01-10,49429.38,7.0,Medium
1004,Employee_4,Marketing,59.0,70026.78478019885,6.602587042822456,2018-01-15,20959.07,7.0,Medium
1005,Employee_5,Sales,41.0,44309.87989058706,5.761842979787927,2018-01-19,29564.93,7.0,Medium
1006,Employee_6,Sales,52.0,27103.364062571185,5.279010855508178,2018-01-24,23737.13,6.9,Medium
1007,Employee_7,Sales,25.0,57166.370101665176,5.6055862347645045,2018-01-29,47043.58,6.9,Medium
1008,Employee_8,Finance,26.0,101722.8590007826,8.588754891452677,2018-02-02,50711.55,6.9,High
1009,Employee_9,Marketing,51.0,57565.84536395817,4.24390262075593,2018-02-07,37692.61,6.9,Medium
1010,Employee_10,HR,45.0,50562.98521940311,8.474838039392964,2018-02-12,26906.05,6.9,High
1011,Employee_11,Sales,24.0,76385.96342243295,5.911855687496329,2018-02-16,39703.76,6.9,Medium
1012,Employee_12,Support,32.0,52083.29542874146,6.799107250951336,2018-02-21,32701.3,6.9,Medium
1013,Employee_13,Finance,25.0,72602.33244379525,7.637830482106789,2018-02-26,28057.44,6.9,High
1014,Employee_14,Sales,47.0,60305.39998376167,5.886699933991409,2018-03-03,45084.91,6.8,Medium
1015,Employee_15,Sales,48.0,58002.92719088378,6.661046388193977,2018-03-07,28630.12,6.8,Medium
1016,Employee_16,Sales,48.0,41322.94686211953,7.468919666891054,2018-03-12,16504.75,6.8,High
1017,Employee_17,Engineering,27.0,73902.65810640363,6.041737387160081,2018-03-17,19838.28,6.8,Medium
1018,Employee_18,Marketing,36.0,82641.93734549085,7.665422811786072,2018-03-21,15951.09,6.8,High
1019,Employee_19,Engineering,51.0,88116.33425047813,3.5831519189124017,2018-03-26,43712.68,6.8,Low
1020,Employee_20,Engineering,58.0,91201.14531095636,4.659473886437485,2018-03-31,42256.08,6.8,Medium
1021,Employee_21,Marketing,58.0,58917.26803132548,7.516243593041292,2018-04-04,41507.8,6.8,High
1022,Employee_22,Sales,58.0,64372.87921139744,7.323569418581945,2018-04-09,48815.97,6.7,High
1023,Employee_23,Engineering,56.0,120464.29322084984,6.095200892967017,2018-04-14,57879.38,6.7,Medium
1024,Employee_24,Engineering,44.0,96287.43200529352,7.267466998587022,2018-04-18,31116.0,6.7,High
1025,Employee_25,Engineering,27.0,82942.95808422536,7.581782696774329,2018-04-23,46097.16,6.7,High
1026,Employee_26,Finance,25.0,68399.18970530147,5.52785959783239,2018-04-28,16305.77,6.7,Medium
1027,Employee_27,Sales,39.0,67851.95760646305,6.823347818507104,2018-05-03,60680.65,6.7,Medium
1028,Employee_28,Marketing,30.0,53006.39278304403,4.107308139458575,2018-05-07,21327.53,6.7,Medium
1029,Employee_29,Marketing,50.0,70226.95786836321,4.594314018263597,2018-05-12,29348.78,6.6,Medium
1030,Employee_30,Sales,34.0,27151.151512262437,2.141946502231035,2018-05-17,31034.36,6.6,Low
1031,Employee_31,Marketing,38.0,57241.44514264336,4.534327008632396,2018-05-21,17105.94,6.6,Medium
1032,Employee_32,Sales,53.0,62537.68016176803,8.705726731322864,2018-05-26,40488.63,6.6,High
1033,Employee_33,Sales,43.0,70241.50655890859,5.6055862347645045,2018-05-31,43208.56,6.6,Medium
1034,Employee_34,Support,25.0,35178.309395491306,5.053611491408768,2018-06-04,37158.79,6.6,Medium
1035,Employee_35,Support,26.0,26966.81978843276,6.5822323948454144,2018-06-09,16896.29,6.6,Medium
1036,Employee_36,Finance,58.0,66871.17802129817,4.942097956559867,2018-06-14,69750.79,6.6,Medium
1037,Employee_37,Engineering,34.0,76494.97190703734,5.579289283879897,2018-06-19,48238.46,6.5,Medium
